molecule_chembl_id,target_chembl_id,standard_value,standard_units,standard_type
CHEMBL363039,CHEMBL5141,20000.0,nM,IC50
CHEMBL185720,CHEMBL5141,50000.0,nM,IC50
CHEMBL224305,CHEMBL5141,5.0,nM,IC50
CHEMBL389433,CHEMBL5141,7000.0,nM,IC50
CHEMBL157101,CHEMBL5141,12000.0,nM,IC50
CHEMBL186798,CHEMBL5141,50000.0,nM,IC50
CHEMBL360640,CHEMBL5141,20000.0,nM,IC50
CHEMBL426188,CHEMBL5141,20000.0,nM,IC50
CHEMBL365686,CHEMBL5141,50000.0,nM,IC50
CHEMBL187150,CHEMBL5141,9000.0,nM,IC50
CHEMBL426432,CHEMBL5141,7000.0,nM,IC50
CHEMBL363682,CHEMBL5141,9000.0,nM,IC50
CHEMBL188017,CHEMBL5141,20000.0,nM,IC50
CHEMBL255090,CHEMBL5141,2200.0,nM,IC50
CHEMBL461860,CHEMBL5141,50000.0,nM,IC50
CHEMBL450523,CHEMBL5141,5000.0,nM,IC50
CHEMBL360771,CHEMBL5141,3300.0,nM,IC50
CHEMBL460780,CHEMBL5141,1500.0,nM,IC50
CHEMBL518642,CHEMBL5141,900.0,nM,IC50
CHEMBL462468,CHEMBL5141,2500.0,nM,IC50
CHEMBL517904,CHEMBL5141,1000.0,nM,IC50
CHEMBL518482,CHEMBL5141,500.0,nM,IC50
CHEMBL460130,CHEMBL5141,15000.0,nM,IC50
CHEMBL459925,CHEMBL5141,5000.0,nM,IC50
CHEMBL449460,CHEMBL5141,35000.0,nM,IC50
CHEMBL460357,CHEMBL5141,7000.0,nM,IC50
CHEMBL517109,CHEMBL5141,4500.0,nM,IC50
CHEMBL389433,CHEMBL5141,7000.0,nM,IC50
CHEMBL224305,CHEMBL5141,5.0,nM,IC50
CHEMBL1766000,CHEMBL5141,10.0,nM,IC50
CHEMBL1766001,CHEMBL5141,8.0,nM,IC50
CHEMBL1766002,CHEMBL5141,250.0,nM,IC50
CHEMBL1766003,CHEMBL5141,6.0,nM,IC50
CHEMBL1766004,CHEMBL5141,125.0,nM,IC50
CHEMBL1766005,CHEMBL5141,3.0,nM,IC50
CHEMBL1766006,CHEMBL5141,8.0,nM,IC50
CHEMBL1766007,CHEMBL5141,3.0,nM,IC50
CHEMBL1766008,CHEMBL5141,10.0,nM,IC50
CHEMBL1766009,CHEMBL5141,100.0,nM,IC50
CHEMBL389433,CHEMBL5141,540.0,nM,IC50
CHEMBL517438,CHEMBL5141,10.0,nM,IC50
CHEMBL1766010,CHEMBL5141,40.0,nM,IC50
CHEMBL1766011,CHEMBL5141,26.0,nM,IC50
CHEMBL1766012,CHEMBL5141,140.0,nM,IC50
CHEMBL1766013,CHEMBL5141,50.0,nM,IC50
CHEMBL1766014,CHEMBL5141,1000.0,nM,IC50
CHEMBL1766015,CHEMBL5141,1000.0,nM,IC50
CHEMBL518482,CHEMBL5141,500.0,nM,IC50
CHEMBL1766005,CHEMBL5141,3.0,nM,IC50
CHEMBL1831082,CHEMBL5141,300.0,nM,IC50
CHEMBL1831083,CHEMBL5141,0.35,nM,IC50
CHEMBL1831084,CHEMBL5141,200.0,nM,IC50
CHEMBL1831085,CHEMBL5141,140.0,nM,IC50
CHEMBL1831086,CHEMBL5141,290.0,nM,IC50
CHEMBL1831087,CHEMBL5141,400.0,nM,IC50
CHEMBL1828655,CHEMBL5141,50.0,nM,IC50
CHEMBL1831088,CHEMBL5141,12.0,nM,IC50
CHEMBL1831089,CHEMBL5141,120.0,nM,IC50
CHEMBL1831090,CHEMBL5141,75.0,nM,IC50
CHEMBL1831091,CHEMBL5141,40.0,nM,IC50
CHEMBL389433,CHEMBL5141,540.0,nM,IC50
CHEMBL517438,CHEMBL5141,10.0,nM,IC50
CHEMBL1831092,CHEMBL5141,0.35,nM,IC50
CHEMBL1831093,CHEMBL5141,1000.0,nM,IC50
CHEMBL1831094,CHEMBL5141,350.0,nM,IC50
CHEMBL1766005,CHEMBL5141,3.0,nM,IC50
CHEMBL517438,CHEMBL5141,10.0,nM,IC50
CHEMBL1831092,CHEMBL5141,0.3,nM,IC50
CHEMBL1766000,CHEMBL5141,10.0,nM,IC50
CHEMBL2146978,CHEMBL5141,250.0,nM,IC50
CHEMBL2146979,CHEMBL5141,450.0,nM,IC50
CHEMBL2146980,CHEMBL5141,16.0,nM,IC50
CHEMBL2146981,CHEMBL5141,9.4,nM,IC50
CHEMBL2146982,CHEMBL5141,700.0,nM,IC50
CHEMBL2146983,CHEMBL5141,1000.0,nM,IC50
CHEMBL2146984,CHEMBL5141,100.0,nM,IC50
CHEMBL2146985,CHEMBL5141,45.0,nM,IC50
CHEMBL2146986,CHEMBL5141,14.0,nM,IC50
CHEMBL2146987,CHEMBL5141,5.7,nM,IC50
CHEMBL2147089,CHEMBL5141,500.0,nM,IC50
CHEMBL1766001,CHEMBL5141,8.0,nM,IC50
CHEMBL2147090,CHEMBL5141,6.7,nM,IC50
CHEMBL2147091,CHEMBL5141,90.0,nM,IC50
CHEMBL2147092,CHEMBL5141,10.0,nM,IC50
CHEMBL2205783,CHEMBL5141,1000.0,nM,IC50
CHEMBL2205782,CHEMBL5141,1000.0,nM,IC50
CHEMBL2205781,CHEMBL5141,1000.0,nM,IC50
CHEMBL2205780,CHEMBL5141,250.0,nM,IC50
CHEMBL2205779,CHEMBL5141,200.0,nM,IC50
CHEMBL2205778,CHEMBL5141,85.0,nM,IC50
CHEMBL2205777,CHEMBL5141,1000.0,nM,IC50
CHEMBL2205776,CHEMBL5141,95.0,nM,IC50
CHEMBL2205775,CHEMBL5141,13.0,nM,IC50
CHEMBL3398412,CHEMBL5141,2340.0,nM,IC50
CHEMBL3398413,CHEMBL5141,3130.0,nM,IC50
CHEMBL3398414,CHEMBL5141,5190.0,nM,IC50
CHEMBL3398415,CHEMBL5141,3350.0,nM,IC50
CHEMBL3398416,CHEMBL5141,3480.0,nM,IC50
CHEMBL3398417,CHEMBL5141,2070.0,nM,IC50
CHEMBL3398418,CHEMBL5141,1360.0,nM,IC50
CHEMBL3398419,CHEMBL5141,3220.0,nM,IC50
CHEMBL3398420,CHEMBL5141,1870.0,nM,IC50
CHEMBL3398421,CHEMBL5141,3210.0,nM,IC50
CHEMBL389433,CHEMBL5141,2450.0,nM,IC50
CHEMBL3398411,CHEMBL5141,3140.0,nM,IC50
CHEMBL3398410,CHEMBL5141,4020.0,nM,IC50
CHEMBL3398409,CHEMBL5141,2730.0,nM,IC50
CHEMBL3398408,CHEMBL5141,3090.0,nM,IC50
CHEMBL3398407,CHEMBL5141,2830.0,nM,IC50
CHEMBL3398406,CHEMBL5141,5070.0,nM,IC50
CHEMBL3398405,CHEMBL5141,3020.0,nM,IC50
CHEMBL3398404,CHEMBL5141,2810.0,nM,IC50
CHEMBL3398403,CHEMBL5141,2620.0,nM,IC50
CHEMBL3398402,CHEMBL5141,3260.0,nM,IC50
CHEMBL3398401,CHEMBL5141,3040.0,nM,IC50
CHEMBL180856,CHEMBL5141,50.0,nM,IC50
CHEMBL1766005,CHEMBL5141,3.0,nM,IC50
CHEMBL224305,CHEMBL5141,4.0,nM,IC50
CHEMBL3617993,CHEMBL5141,10.0,nM,IC50
CHEMBL3617978,CHEMBL5141,370.0,nM,IC50
CHEMBL3617979,CHEMBL5141,650.0,nM,IC50
CHEMBL3617980,CHEMBL5141,790.0,nM,IC50
CHEMBL3617981,CHEMBL5141,540.0,nM,IC50
CHEMBL3617982,CHEMBL5141,970.0,nM,IC50
CHEMBL3617983,CHEMBL5141,220.0,nM,IC50
CHEMBL3617984,CHEMBL5141,600.0,nM,IC50
CHEMBL3617985,CHEMBL5141,620.0,nM,IC50
CHEMBL3617986,CHEMBL5141,460.0,nM,IC50
CHEMBL3617987,CHEMBL5141,1020.0,nM,IC50
CHEMBL3617988,CHEMBL5141,410.0,nM,IC50
CHEMBL3617989,CHEMBL5141,740.0,nM,IC50
CHEMBL3617990,CHEMBL5141,840.0,nM,IC50
CHEMBL3617991,CHEMBL5141,630.0,nM,IC50
CHEMBL3617992,CHEMBL5141,1110.0,nM,IC50
CHEMBL389433,CHEMBL5141,890.0,nM,IC50
CHEMBL3785701,CHEMBL5141,10000.0,nM,IC50
CHEMBL3787323,CHEMBL5141,270.0,nM,IC50
CHEMBL3786340,CHEMBL5141,5000.0,nM,IC50
CHEMBL3786043,CHEMBL5141,10600.0,nM,IC50
CHEMBL3786927,CHEMBL5141,5000.0,nM,IC50
CHEMBL3785557,CHEMBL5141,5000.0,nM,IC50
CHEMBL3785761,CHEMBL5141,5000.0,nM,IC50
CHEMBL3785624,CHEMBL5141,5000.0,nM,IC50
CHEMBL3787627,CHEMBL5141,340.0,nM,IC50
CHEMBL3786581,CHEMBL5141,240.0,nM,IC50
CHEMBL3786324,CHEMBL5141,1660.0,nM,IC50
CHEMBL95949,CHEMBL5141,4700.0,nM,IC50
CHEMBL323626,CHEMBL5141,1300.0,nM,IC50
CHEMBL112715,CHEMBL5141,7800.0,nM,IC50
CHEMBL101308,CHEMBL5141,25000.0,nM,IC50
CHEMBL3787691,CHEMBL5141,3500.0,nM,IC50
CHEMBL3785511,CHEMBL5141,2800.0,nM,IC50
CHEMBL3787564,CHEMBL5141,4000.0,nM,IC50
CHEMBL3786184,CHEMBL5141,60.0,nM,IC50
CHEMBL3786620,CHEMBL5141,110.0,nM,IC50
CHEMBL309282,CHEMBL5141,1630.0,nM,IC50
CHEMBL1023,CHEMBL5141,13500.0,nM,IC50
CHEMBL459505,CHEMBL5141,5.1,nM,IC50
CHEMBL389433,CHEMBL5141,1900.0,nM,IC50
CHEMBL180856,CHEMBL5141,50.0,nM,IC50
CHEMBL1766005,CHEMBL5141,30.0,nM,IC50
CHEMBL389433,CHEMBL5141,1900.0,nM,IC50
CHEMBL157101,CHEMBL5141,660.0,nM,IC50
CHEMBL459505,CHEMBL5141,5.1,nM,IC50
CHEMBL5785788,CHEMBL5141,4.3,nM,IC50
CHEMBL25202,CHEMBL5141,13050.0,nM,IC50
CHEMBL69367,CHEMBL5141,6500.0,nM,IC50
CHEMBL275311,CHEMBL5141,5600.0,nM,IC50
CHEMBL3787564,CHEMBL5141,4400.0,nM,IC50
CHEMBL3785511,CHEMBL5141,3250.0,nM,IC50
CHEMBL6054609,CHEMBL5141,3900.0,nM,IC50
CHEMBL4792252,CHEMBL5141,40200.0,nM,IC50
CHEMBL4216904,CHEMBL5141,14800.0,nM,IC50
CHEMBL1201375,CHEMBL5141,7600.0,nM,IC50
CHEMBL451835,CHEMBL5141,10500.0,nM,IC50
CHEMBL6018534,CHEMBL5141,42500.0,nM,IC50
CHEMBL5755195,CHEMBL5141,9900.0,nM,IC50
CHEMBL5803577,CHEMBL5141,5660.0,nM,IC50
CHEMBL5785529,CHEMBL5141,830.0,nM,IC50
CHEMBL5959317,CHEMBL5141,100000.0,nM,IC50
CHEMBL5933931,CHEMBL5141,1140.0,nM,IC50
CHEMBL5842431,CHEMBL5141,14020.0,nM,IC50
CHEMBL5889941,CHEMBL5141,8240.0,nM,IC50
CHEMBL5878939,CHEMBL5141,39730.0,nM,IC50
CHEMBL5801515,CHEMBL5141,1290.0,nM,IC50
CHEMBL5975645,CHEMBL5141,470.0,nM,IC50
CHEMBL5772280,CHEMBL5141,3170.0,nM,IC50
CHEMBL5999415,CHEMBL5141,2200.0,nM,IC50
CHEMBL5850958,CHEMBL5141,80520.0,nM,IC50
CHEMBL5850367,CHEMBL5141,8230.0,nM,IC50
CHEMBL5844283,CHEMBL5141,20010.0,nM,IC50
CHEMBL5775135,CHEMBL5141,100.0,nM,IC50
CHEMBL5941914,CHEMBL5141,6200.0,nM,IC50
CHEMBL5881268,CHEMBL5141,28390.0,nM,IC50
CHEMBL6058289,CHEMBL5141,1000000.0,nM,IC50
CHEMBL5833159,CHEMBL5141,1774.0,nM,IC50
CHEMBL5961796,CHEMBL5141,38660.0,nM,IC50
CHEMBL5894941,CHEMBL5141,1000000.0,nM,IC50
CHEMBL5757565,CHEMBL5141,741.0,nM,IC50
CHEMBL5976308,CHEMBL5141,1900.0,nM,IC50
CHEMBL6035444,CHEMBL5141,45600.0,nM,IC50
CHEMBL5934332,CHEMBL5141,7000.0,nM,IC50
CHEMBL5912888,CHEMBL5141,8600.0,nM,IC50
CHEMBL5758892,CHEMBL5141,1000000.0,nM,IC50
CHEMBL5772795,CHEMBL5141,31500.0,nM,IC50
CHEMBL5744932,CHEMBL5141,8600.0,nM,IC50
CHEMBL5972108,CHEMBL5141,9600.0,nM,IC50
CHEMBL5803577,CHEMBL5141,5660.0,nM,IC50
CHEMBL5785529,CHEMBL5141,830.0,nM,IC50
CHEMBL5959317,CHEMBL5141,100000.0,nM,IC50
CHEMBL5933931,CHEMBL5141,1140.0,nM,IC50
CHEMBL6013465,CHEMBL5141,14020.0,nM,IC50
CHEMBL5835875,CHEMBL5141,8240.0,nM,IC50
CHEMBL5878939,CHEMBL5141,39730.0,nM,IC50
CHEMBL5801515,CHEMBL5141,1290.0,nM,IC50
CHEMBL5975645,CHEMBL5141,470.0,nM,IC50
CHEMBL5772280,CHEMBL5141,3170.0,nM,IC50
CHEMBL5999415,CHEMBL5141,2200.0,nM,IC50
CHEMBL5850958,CHEMBL5141,80520.0,nM,IC50
CHEMBL5850367,CHEMBL5141,8230.0,nM,IC50
CHEMBL5963896,CHEMBL5141,20010.0,nM,IC50
CHEMBL5775135,CHEMBL5141,100.0,nM,IC50
CHEMBL5941914,CHEMBL5141,6200.0,nM,IC50
CHEMBL5881268,CHEMBL5141,28390.0,nM,IC50
CHEMBL6058289,CHEMBL5141,1000000.0,nM,IC50
CHEMBL5833159,CHEMBL5141,1774.0,nM,IC50
CHEMBL5961796,CHEMBL5141,38660.0,nM,IC50
CHEMBL5894941,CHEMBL5141,1000000.0,nM,IC50
CHEMBL5757565,CHEMBL5141,741.0,nM,IC50
CHEMBL5976308,CHEMBL5141,1900.0,nM,IC50
CHEMBL421891,CHEMBL4633,9700.0,nM,IC50
CHEMBL111539,CHEMBL4633,8000.0,nM,IC50
CHEMBL109336,CHEMBL4633,3700.0,nM,IC50
CHEMBL418444,CHEMBL4633,3200.0,nM,IC50
CHEMBL109739,CHEMBL4633,3900.0,nM,IC50
CHEMBL109643,CHEMBL4633,6100.0,nM,IC50
CHEMBL281622,CHEMBL4633,200.0,nM,IC50
CHEMBL111753,CHEMBL4633,4000.0,nM,IC50
CHEMBL112516,CHEMBL4633,2900.0,nM,IC50
CHEMBL325794,CHEMBL4633,5800.0,nM,IC50
CHEMBL110004,CHEMBL4633,9900.0,nM,IC50
CHEMBL112852,CHEMBL4633,10100.0,nM,IC50
CHEMBL109698,CHEMBL4633,5600.0,nM,IC50
CHEMBL290227,CHEMBL4633,86.0,nM,IC50
CHEMBL418444,CHEMBL4633,1000.0,nM,IC50
CHEMBL55142,CHEMBL4633,240.0,nM,IC50
CHEMBL55091,CHEMBL4633,471.0,nM,IC50
CHEMBL56808,CHEMBL4633,5000.0,nM,IC50
CHEMBL59430,CHEMBL4633,10000.0,nM,IC50
CHEMBL56124,CHEMBL4633,2300.0,nM,IC50
CHEMBL55791,CHEMBL4633,544.0,nM,IC50
CHEMBL55791,CHEMBL4633,3160.0,nM,IC50
CHEMBL56173,CHEMBL4633,164.0,nM,IC50
CHEMBL56173,CHEMBL4633,1053.0,nM,IC50
CHEMBL294373,CHEMBL4633,227.0,nM,IC50
CHEMBL53676,CHEMBL4633,310.0,nM,IC50
CHEMBL53676,CHEMBL4633,231.0,nM,IC50
CHEMBL299451,CHEMBL4633,239.0,nM,IC50
CHEMBL298622,CHEMBL4633,190.0,nM,IC50
CHEMBL298622,CHEMBL4633,216.0,nM,IC50
CHEMBL56589,CHEMBL4633,75.0,nM,IC50
CHEMBL56589,CHEMBL4633,434.0,nM,IC50
CHEMBL54934,CHEMBL4633,117.0,nM,IC50
CHEMBL54934,CHEMBL4633,249.0,nM,IC50
CHEMBL53790,CHEMBL4633,7680.0,nM,IC50
CHEMBL56998,CHEMBL4633,100.0,nM,IC50
CHEMBL291738,CHEMBL4633,206.0,nM,IC50
CHEMBL293719,CHEMBL4633,30000.0,nM,IC50
CHEMBL293719,CHEMBL4633,10000.0,nM,IC50
CHEMBL54231,CHEMBL4633,475.0,nM,IC50
CHEMBL299668,CHEMBL4633,65.0,nM,IC50
CHEMBL299668,CHEMBL4633,250.0,nM,IC50
CHEMBL56151,CHEMBL4633,1170.0,nM,IC50
CHEMBL417417,CHEMBL4633,275.0,nM,IC50
CHEMBL56590,CHEMBL4633,280.0,nM,IC50
CHEMBL56590,CHEMBL4633,279.0,nM,IC50
CHEMBL291674,CHEMBL4633,8000.0,nM,IC50
CHEMBL53841,CHEMBL4633,32.0,nM,IC50
CHEMBL53841,CHEMBL4633,335.0,nM,IC50
CHEMBL59482,CHEMBL4633,30000.0,nM,IC50
CHEMBL59482,CHEMBL4633,10000.0,nM,IC50
CHEMBL59536,CHEMBL4633,30000.0,nM,IC50
CHEMBL293083,CHEMBL4633,198.0,nM,IC50
CHEMBL293083,CHEMBL4633,2620.0,nM,IC50
CHEMBL55202,CHEMBL4633,88.0,nM,IC50
CHEMBL55202,CHEMBL4633,329.0,nM,IC50
CHEMBL298608,CHEMBL4633,280.0,nM,IC50
CHEMBL298608,CHEMBL4633,351.0,nM,IC50
CHEMBL416313,CHEMBL4633,340.0,nM,IC50
CHEMBL416313,CHEMBL4633,213.0,nM,IC50
CHEMBL57615,CHEMBL4633,5000.0,nM,IC50
CHEMBL293721,CHEMBL4633,47.0,nM,IC50
CHEMBL293721,CHEMBL4633,267.0,nM,IC50
CHEMBL55649,CHEMBL4633,930.0,nM,IC50
CHEMBL54846,CHEMBL4633,550.0,nM,IC50
CHEMBL54846,CHEMBL4633,259.0,nM,IC50
CHEMBL59308,CHEMBL4633,240.0,nM,IC50
CHEMBL59308,CHEMBL4633,602.0,nM,IC50
CHEMBL57117,CHEMBL4633,828.0,nM,IC50
CHEMBL56261,CHEMBL4633,817.0,nM,IC50
CHEMBL56261,CHEMBL4633,1676.0,nM,IC50
CHEMBL278971,CHEMBL4633,30000.0,nM,IC50
CHEMBL274227,CHEMBL4633,200.0,nM,IC50
CHEMBL279370,CHEMBL4633,140.0,nM,IC50
CHEMBL16308,CHEMBL4633,320.0,nM,IC50
CHEMBL278660,CHEMBL4633,70.0,nM,IC50
CHEMBL278660,CHEMBL4633,361.0,nM,IC50
CHEMBL278660,CHEMBL4633,18.0,nM,IC50
CHEMBL277598,CHEMBL4633,90.0,nM,IC50
CHEMBL277598,CHEMBL4633,354.0,nM,IC50
CHEMBL277598,CHEMBL4633,72.0,nM,IC50
CHEMBL275836,CHEMBL4633,230.0,nM,IC50
CHEMBL16806,CHEMBL4633,58.0,nM,IC50
CHEMBL16806,CHEMBL4633,195.0,nM,IC50
CHEMBL16806,CHEMBL4633,5.0,nM,IC50
CHEMBL16917,CHEMBL4633,195.0,nM,IC50
CHEMBL16792,CHEMBL4633,470.0,nM,IC50
CHEMBL279358,CHEMBL4633,2790.0,nM,IC50
CHEMBL16449,CHEMBL4633,690.0,nM,IC50
CHEMBL16432,CHEMBL4633,130.0,nM,IC50
CHEMBL16432,CHEMBL4633,1099.0,nM,IC50
CHEMBL16432,CHEMBL4633,140.0,nM,IC50
CHEMBL16446,CHEMBL4633,120.0,nM,IC50
CHEMBL16446,CHEMBL4633,200.0,nM,IC50
CHEMBL16848,CHEMBL4633,75.0,nM,IC50
CHEMBL16848,CHEMBL4633,222.0,nM,IC50
CHEMBL277952,CHEMBL4633,420.0,nM,IC50
CHEMBL17027,CHEMBL4633,30000.0,nM,IC50
CHEMBL276543,CHEMBL4633,1045.0,nM,IC50
CHEMBL280102,CHEMBL4633,90.0,nM,IC50
CHEMBL280102,CHEMBL4633,688.0,nM,IC50
CHEMBL278915,CHEMBL4633,30000.0,nM,IC50
CHEMBL16706,CHEMBL4633,470.0,nM,IC50
CHEMBL280052,CHEMBL4633,325.0,nM,IC50
CHEMBL16110,CHEMBL4633,3730.0,nM,IC50
CHEMBL16450,CHEMBL4633,150.0,nM,IC50
CHEMBL16581,CHEMBL4633,90.0,nM,IC50
CHEMBL16581,CHEMBL4633,688.0,nM,IC50
CHEMBL16804,CHEMBL4633,50.0,nM,IC50
CHEMBL16804,CHEMBL4633,273.0,nM,IC50
CHEMBL16804,CHEMBL4633,5.0,nM,IC50
CHEMBL429234,CHEMBL4633,230.0,nM,IC50
CHEMBL441507,CHEMBL4633,7200.0,nM,IC50
CHEMBL16518,CHEMBL4633,30000.0,nM,IC50
CHEMBL16945,CHEMBL4633,150.0,nM,IC50
CHEMBL16945,CHEMBL4633,1255.0,nM,IC50
CHEMBL16945,CHEMBL4633,99.0,nM,IC50
CHEMBL277287,CHEMBL4633,140.0,nM,IC50
CHEMBL277287,CHEMBL4633,320.0,nM,IC50
CHEMBL280079,CHEMBL4633,840.0,nM,IC50
CHEMBL16464,CHEMBL4633,30000.0,nM,IC50
CHEMBL417995,CHEMBL4633,135.0,nM,IC50
CHEMBL417995,CHEMBL4633,1057.0,nM,IC50
CHEMBL277064,CHEMBL4633,100.0,nM,IC50
CHEMBL277064,CHEMBL4633,399.0,nM,IC50
CHEMBL279529,CHEMBL4633,8380.0,nM,IC50
CHEMBL277812,CHEMBL4633,120.0,nM,IC50
CHEMBL277812,CHEMBL4633,519.0,nM,IC50
CHEMBL416538,CHEMBL4633,440.0,nM,IC50
